StartDate,EndDate,Duration (in seconds),Finished,ResponseId,DistributionChannel,UserLanguage,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q12,Q13,Q14,Q15,Q16
Start Date,End Date,Duration (in seconds),Finished,Response ID,Distribution Channel,User Language,Purpose:You are being askedto be in a research study tounderstand contemporary securi,Which gender do you identify yourself with?,What is your highest level of education?,Which one is your primary work location?,How many years of software development experience do you have?,Which free/libre  or open source software (FLOSS) project are/were you most actively involved in (list one)?,Do you receive financial compensation for your participation in your project?,"Does your project have a dedicated security code review team (i.e. a group of project members, who focus on reviewing security-critical code changes or are consulted when a security concern arises)?",Approximately how many members belong to your project’s security code review team?,Estimate the total number of code commits you have contributed to your project.,"Approximately, how many hours per week do you spend on reviewing other people’s code or preparing your code for reviews?","In the following, we list some common security defects that appear in code. Please rate each of the defect category based on its difficulty level to identify during code review on a scale from 1 to 10, where 1 means ""Not at all difficult"" and 10 means ""Extremely difficult"". - Improper synchronization for multi-threaded application","In the following, we list some common security defects that appear in code. Please rate each of the defect category based on its difficulty level to identify during code review on a scale from 1 to 10, where 1 means ""Not at all difficult"" and 10 means ""Extremely difficult"". - Incorrect calculation of variable/array/buffer/memory size","In the following, we list some common security defects that appear in code. Please rate each of the defect category based on its difficulty level to identify during code review on a scale from 1 to 10, where 1 means ""Not at all difficult"" and 10 means ""Extremely difficult"". - Inadequate user input validation","In the following, we list some common security defects that appear in code. Please rate each of the defect category based on its difficulty level to identify during code review on a scale from 1 to 10, where 1 means ""Not at all difficult"" and 10 means ""Extremely difficult"". - Inadequate exceptional handling","In the following, we list some common security defects that appear in code. Please rate each of the defect category based on its difficulty level to identify during code review on a scale from 1 to 10, where 1 means ""Not at all difficult"" and 10 means ""Extremely difficult"". - Memory/Resource leak","In the following, we list some common security defects that appear in code. Please rate each of the defect category based on its difficulty level to identify during code review on a scale from 1 to 10, where 1 means ""Not at all difficult"" and 10 means ""Extremely difficult"". - Unauthorized access","In the following, we list some common security defects that appear in code. Please rate each of the defect category based on its difficulty level to identify during code review on a scale from 1 to 10, where 1 means ""Not at all difficult"" and 10 means ""Extremely difficult"". - Operation on a resource after expiration/release","In the following, we list some common security defects that appear in code. Please rate each of the defect category based on its difficulty level to identify during code review on a scale from 1 to 10, where 1 means ""Not at all difficult"" and 10 means ""Extremely difficult"". - Use of unsafe function","In the following, we list some common security defects that appear in code. Please rate each of the defect category based on its difficulty level to identify during code review on a scale from 1 to 10, where 1 means ""Not at all difficult"" and 10 means ""Extremely difficult"". - Incorrect type conversion/casting of a variable/object","In the following, we list some common security defects that appear in code. Please rate each of the defect category based on its difficulty level to identify during code review on a scale from 1 to 10, where 1 means ""Not at all difficult"" and 10 means ""Extremely difficult"". - Incorrect initialization of a variable/resource","Approximately, for how many security code reviews have you participated in your project (i.e., code reviews where you raised security concerns or you were added as an additional reviewer due to security concerns raised by other developers)?","During code review, do you pay closer attention to code written by developers with certain characteristics than other developers to identify potential security defects?","Which characteristics of a developer are associated with his/her likelihood of security defect introduction (e.g., inexperienced in software development, new hire, and prior history of secure coding mistakes)?","Did you ever had a security defect missed during your reviews (i.e., you failed to identify a security defect in a code that you reviewed)?","Following up the previous question, could you please describe us some reasons why you failed to identify security defects during your code reviews?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID52""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID30""}","{""ImportId"":""QID34""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID44_4""}","{""ImportId"":""QID44_5""}","{""ImportId"":""QID44_6""}","{""ImportId"":""QID44_7""}","{""ImportId"":""QID44_8""}","{""ImportId"":""QID44_9""}","{""ImportId"":""QID44_10""}","{""ImportId"":""QID38""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59_TEXT""}"
11/19/2020 11:29,11/19/2020 12:20,3095,TRUE,R_2WBh5uh7jmOKZ0I,anonymous,EN,"I consent, begin the study.",Male,Bachelors,Europe,11 to 20 years,Qt,No,Yes,,More than 100,Less than 2 hours,7,4,4,2,5,5,7,4,2,1,6 to 10,"Yes, I often pay closer attention to code written by developers with certain characteristics","First of all, I've learned that people who wrote a spaghetti code some time before most probably are unable to write a ""sane"" code any time soon; grades and values doesn't matter here. Coma.

Secondly, people who never gives a feedback to my feedback (i.e. update their commits to silence previous comments) would be in my grey list, too.

Inexperienced and newly hired developers are a subject of an extra attention when I review their code, nothing personal though.
",Yes,"The most often reason is a lazyness. Sometimes, after a bunch of review iterations it may happen ""yay, I could do this better way!"" and voi-la, we have a new issue ;p"
11/20/2020 0:27,11/20/2020 1:04,2207,TRUE,R_2w7AAf2hArDiTKC,anonymous,EN,"I consent, begin the study.",Male,Others,Europe,More than 20 years,Qt,No,Yes,3 to 5,More than 100,6 to 10 hours,4,5,4,4,5,5,5,3,3,3,None,"No, I always pay same attention to code written by any types of developers","I think it's rather related to how the developer cares about code quality.
An inexperienced developer can get a good start when interested in code quality as there are lots of resources for that as well as mentoring possibilities.

After that, everybody makes mistake. Even a careful developer can introduce bugs for a lot of reason unrelated to their skills.
",No,
11/23/2020 12:50,11/23/2020 12:54,273,TRUE,R_AFfkvdXPhUjX0OZ,email,EN,"I consent, begin the study.",Male,Ph.D.,North America (US and Canada),More than 20 years,Android,Yes,Yes,11 to 20,More than 100,Less than 2 hours,10,6,3,7,8,4,6,2,5,5,6 to 10,"Yes, I often pay closer attention to code written by developers with certain characteristics","Inexperience in general, new to the project, doesn't regularly work on the project.",No,
11/23/2020 12:52,11/23/2020 13:02,582,TRUE,R_21A6z0Bxn74hTe8,email,EN,"I consent, begin the study.",Male,Masters,Europe,More than 20 years,QtCreator,No,No,,More than 100,Less than 2 hours,9,3,10,10,8,6,6,5,2,2,None,"Yes, I often pay closer attention to code written by developers with certain characteristics",inexperienced in software development; developers that are driven by implementing a solution instead ofd thinking about the right solution.,Yes,Many security risks cannot be found in a source code review due to the complexity of  software.
11/23/2020 12:48,11/23/2020 13:04,928,TRUE,R_2xVtSC9rKxN7Nbp,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),11 to 20 years,Chromium,Yes,Yes,11 to 20,More than 100,11 to 15 hours,4,3,6,5,4,6,6,6,4,6,21 to 50,"Yes, I often pay closer attention to code written by developers with certain characteristics","Developer experience and/or my familiarity with that developer. Also, as a proxy, seeing if they are not as familiar with project style guide means that they might not be familiar with other best practices / or the codebase, so worth scrutinizing their code more.",Yes,"The bigger the change, the harder it is to miss something. In general, it's best to have smaller focused changes and I often ask people to split their changes when they are too large. I've definitely missed things (security or otherwise) when reviewing changes that are too large, because it's hard to keep track of all the moving parts."
11/23/2020 13:00,11/23/2020 13:07,436,TRUE,R_25s8qc4MXwgEu5X,email,EN,"I consent, begin the study.",Male,Masters,Europe,11 to 20 years,Qt,Yes,Yes,11 to 20,More than 100,11 to 15 hours,5,4,6,2,6,4,5,2,2,3,11 to 20,"Yes, I often pay closer attention to code written by developers with certain characteristics","Experience is unknown or little, sloppyness",No,
11/23/2020 13:06,11/23/2020 13:23,977,TRUE,R_20OMYOK7ljxa3Ep,email,EN,"I consent, begin the study.",Male,Ph.D.,North America (US and Canada),More than 20 years,chromium os,No,Yes,11 to 20,More than 100,6 to 10 hours,8,4,7,7,8,6,3,3,3,8,None,"Yes, I often pay closer attention to code written by developers with certain characteristics",Inexperience (typically new hires).,No,
11/23/2020 13:13,11/23/2020 13:24,684,TRUE,R_qC4TiebIAzVQxqh,email,EN,"I consent, begin the study.",Male,Masters,North America (US and Canada),11 to 20 years,qemu,Yes,Yes,3 to 5,More than 100,16 to 20 hours,6,4,5,3,7,4,4,2,4,3,1 to 5,"Yes, I often pay closer attention to code written by developers with certain characteristics",New to the mailing list,Yes,"Code is complex; security problems related to networking are harder to reason about (it's easy to test a well-behaved communication partner, but harder to reason about intentional misuse of the network protocol, especially since such poorly-written clients are not easy to write)"
